Pf3D7_02_v3	4	190	1,1,1,1,1,1,1,1,1,2,4,4,4,5,6,6,4,5,7,6,9,9,9,9,10,10,8,10,10,10,10,10,9,8,10,11,10,10,11,11,11,10,10,10,9,9,8,9,8,9,9,10,9,9,10,10,10,10,9,10,10,9,9,9,8,9,9,10,10,10,9,8,8,8,8,9,9,9,10,10,9,11,11,10,9,10,10,10,8,9,10,9,10,10,9,10,10,11,10,11,9,11,12,11,11,11,12,12,12,11,10,8,6,9,9,9,9,7,6,7,6,6,6,6,6,4,4,6,4,4,4,3,4,3,4,5,4,4,3,5,3,4,4,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88.89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,91.67,100,100,100,100,100,100,100,100,100,100,100,100,100,83.33,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	192	192	1	100
Pf3D7_02_v3	194	194	1	100
Pf3D7_02_v3	212	296	2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5,3,6,6,5,5,8,8,5,9,9,6,9,9,7,8,8,7,7,7,7,5,7,7,6,6,6,6,5,7,7,6,6,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	300	310	1,1,1,1,1,1,1,1,1,1,1	100,100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	312	421	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,4,5,6,5,5,4,6,5,4,5,6,5,8,8,8,8,9,7,8,9,7,7,10,11,8,10,11,11,10,12,12,11,12,11,12,11,16,19,13,18,18,17,16,16,17,15,18,17,17,16,16,18,17,17,18,16,14,15,16,14,16,15,14,13,14,13,13,13,13,12,12,11,10,9,9,8,8,7,7,6,5,3,5,4,3,2,2,1,2	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	425	564	1,3,2,5,5,5,4,5,5,4,7,9,8,8,9,9,7,10,10,10,10,11,11,10,14,14,13,15,16,16,18,18,19,18,20,20,19,24,23,26,24,28,27,19,26,26,24,22,24,25,16,24,24,24,21,21,23,21,23,22,21,18,25,25,24,24,25,23,22,23,24,22,24,23,23,20,17,18,15,17,14,14,14,15,16,15,14,16,14,14,15,15,15,13,14,13,11,10,10,8,10,10,9,9,10,9,9,8,8,8,9,7,7,7,6,7,6,2,1,3,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.43,100,100,100,100,100,100,100,100,100,100,100,100,100,95.24,100,100,100,100,100,100,100,100,100,100,100,100,100,95.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	566	669	1,1,3,3,3,3,3,4,4,5,4,4,5,4,5,6,5,5,6,6,6,6,7,7,7,7,7,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,5,4,3,3,4,5,4,4,5,4,5,5,4,5,5,4,1,4,2,1,2,2,2,3,3,1,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	689	698	1,1,1,1,1,1,1,1,1,1	100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	700	709	1,1,2,2,1,2,2,1,2,2	100,100,100,100,100,100,100,100,100,100
Pf3D7_02_v3	711	742	2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
